t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,cal_x,cal_y,cal_z,cal_q_w,cal_q_x,cal_q_y,cal_q_z,b_w_x,b_w_y,b_w_z,b_a_x,b_a_y,b_a_z
0,0,0,0,0,0,0,1,0,0,0,0.20000000000000001110223,0.20000000000000001110223,0.0500000000000000027755576,0.707106781186547461715008,0,0.707106781186547461715008,0,-0.00649013765191240685897833,0.0118116604196553173083961,-0.00758453297283691579150355,-0.0110961303850152220168424,-0.00845551240007796738040735,-0.00572664866457950165468116
0.00500000000000000010408341,-2.50007442143991565064454e-05,1.25003575033266983804886e-05,1.24999801555427040417566e-06,-0.010000440606354932607247,0.00500020838835725772025809,0.000499998381913349773837674,0.999999999998767763464969,-4.45589975154252293550856e-07,-2.95029903337389681473994e-08,1.50500140664548718311545e-06,0.20000000000000001110223,0.20000000000000001110223,0.0500000000000000027755576,0.707106781186547461715008,0,0.707106781186547461715008,0,-0.00649018064133555921957353,0.0118116340410313064995806,-0.00758457681607160177916782,-0.0110967339225756713577686,-0.00845532983736243907990637,-0.00572722233840831061735255
0.0100000000000000002081668,-0.00010000562095025322738133,5.00025676132495543158539e-05,4.99996707856914578225332e-06,-0.0200016100117009557046721,0.0100007069921657816558014,0.000999986729621462440073532,0.999999999980045295444597,-1.78954200006715899033726e-06,-1.16625022906133533757471e-07,6.05752881265474538857469e-06,0.20000000000000001110223,0.20000000000000001110223,0.0500000000000000027755576,0.707106781186547461715008,0,0.707106781186547461715008,0,-0.00649011085200113749943407,0.0118115989063529609748304,-0.00758454918261647174915208,-0.0110963907104757557309238,-0.0084551854171840655494119,-0.00572723333283947731026098
0.0149999999999999994448885,-0.000225017629308568245863342,0.000112507571339911889769271,1.12498318708237446698558e-05,-0.0300032503217467459710743,0.0150012919635478872426582,0.00149995502490971651526896,0.999999999899132796521428,-4.01527208860216576610455e-06,-2.57460940683133818079908e-07,1.36215133375862521892836e-05,0.20000000000000001110223,0.20000000000000001110223,0.0500000000000000027755576,0.707106781186547461715008,0,0.707106781186547461715008,0,-0.00649008993274057584960124,0.0118116063084765694768397,-0.00758455042774991948506536,-0.0110968038718312241031061,-0.00845554472805154500036906,-0.00572753883321517557464242
0.0200000000000000004163336,-0.000400038479865051849800744,0.000200015293144664414812933,1.99994675934496027390041e-05,-0.040005104019960525951749,0.020001760531857898373076,0.0019998934937771350485447,0.999999999682770646103336,-7.10631792042762780084843e-06,-4.48133499304869885622037e-07,2.41610894352081521094851e-05,0.20000000000000001110223,0.20000000000000001110223,0.0500000000000000027755576,0.707106781186547461715008,0,0.707106781186547461715008,0,-0.00649004496911302630746121,0.0118116080167553448576623,-0.00758455807651677721414885,-0.0110963428597134570324778,-0.00845594874815347105623253,-0.00572707521298174409424275
0.0250000000000000013877788,-0.000625068596548491919179247,0.000312524646340948161326451,3.12487011885743764215417e-05,-0.0500069139634309253739097,0.0250019110095334555488034,0.00249979260665136263780406,0.999999999230347436096622,-1.10463388596576567607941e-05,-6.8479333256802108480688e-07,3.76405948875023149496032e-05,0.20000000000000001110223,0.20000000000000001110223,0.0500000000000000027755576,0.707106781186547461715008,0,0.707106781186547461715008,0,-0.00649006228435114289332386,0.0118115873903080134676991,-0.00758451923717236124733443,-0.0110955068432703873176903,-0.00845588545056649536213467,-0.00572663277496025281687597
0.029999999999999998889777,-0.000900107118498861906961961,0.000450033538523869560028789,4.49973125618134570059478e-05,-0.0600084233788954826693818,0.0300015427977223664290918,0.00299964307851313454963971,0.999999998415086244207828,-1.58191159730243751779105e-05,-9.63618918833586075628397e-07,5.40245707983943323658368e-05,0.20000000000000001110223,0.20000000000000001110223,0.0500000000000000027755576,0.707106781186547461715008,0,0.707106781186547461715008,0,-0.00649003355795957186102907,0.0118116007403235110523321,-0.00758450230176507464441293,-0.011095934568029352726426,-0.00845498613141193282316532,-0.00572617753587397089465316
0.0350000000000000033306691,-0.00122515190190598203395789,0.000612538877027358325509654,6.12450358051605677454921e-05,-0.0700093758589349635101939,0.0350004563916875288676067,0.00349943586893156598216503,0.999999997085201597357695,-2.14085520475943669421563e-05,-1.28081654835648692017359e-06,7.3277761587244206889849e-05,0.20000000000000001110223,0.20000000000000001110223,0.0500000000000000027755576,0.707106781186547461715008,0,0.707106781186547461715008,0,-0.00649006147310330402250278,0.0118116499177341512799577,-0.00758454818539359976181657,-0.0110963425777849226949723,-0.00845548617815348492465777,-0.00572634424904021333002646
0.0400000000000000008326673,-0.00160019952182956118162671,0.000800036574407793203179973,7.99915604198346439019165e-05,-0.0800095153583313678513633,0.0399984533859924981658018,0.00399916218201160772460767,0.999999995065031677121681,-2.77986716080416518357288e-05,-1.63262029153334156196585e-06,9.53651149821305393981113e-05,0.20000000000000001110223,0.20000000000000001110223,0.0500000000000000027755576,0.707106781186547461715008,0,0.707106781186547461715008,0,-0.00649008502327534046033586,0.0118116203843351558200325,-0.0075845964037758529033284,-0.0110962014300779402559138,-0.00845544965613872698262377,-0.00572639405576489627508474
0.0449999999999999983346655,-0.00202524527400143932939769,0.00101252155395302077464659,0.000101236532538647027866692,-0.0900085861905881162714493,0.0449953364794698357220781,0.00449881346625499809604998,0.999999992156146655375437,-3.49736209334888291182762e-05,-2.01529196806464098263786e-06,0.000120251782012961220516729,0.20000000000000001110223,0.20000000000000001110223,0.0500000000000000027755576,0.707106781186547461715008,0,0.707106781186547461715008,0,-0.00649010069434427690204803,0.0118116164119874429011547,-0.00758454078652475750799145,-0.0110958829106126612845662,-0.00845546519073038342628745,-0.00572627518461113656222938
